Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Scipt Version,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength[nm],Rsq of Ref.spectrum(Nth),Max_transmission of Ref.spec.(dB),Rsq of IV,I at -1V[A],I at 1V[A]
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190712-120409,process LMZ,3.600000000000002,B1,magdzi83,2,-1,0,No Error,1550,0.997185264488148,-9.075250786039327,0.9999999,4.573714e-11,0.00488411
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190712-121443,process LMZ,3.600000000000002,B1,magdzi83,2,-3,0,No Error,1550,0.9972310768674657,-10.45963629309971,0.9999999,1.951419e-09,0.00500029
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190712-121808,process LMZ,3.600000000000002,B1,magdzi83,2,2,0,No Error,1550,0.9972863067753408,-9.465441021890829,0.9999999,3.995418e-10,0.005182757
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190712-121627,process LMZ,3.600000000000002,B1,magdzi83,3,0,0,No Error,1550,0.9970643393868123,-9.657217317337915,1.0,8.534919e-10,0.005047702
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-081952,process LMZ,3.600000000000002,B1,magdzi83,-1,-1,0,No Error,1310,0.9980892781253247,-5.525899887084961,-3.296992,1.208074e-10,1.34298e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-085346,process LMZ,3.600000000000002,B1,magdzi83,-1,-3,0,No Error,1310,0.9991891709554758,-5.481581211090088,-12.08603,1.187963e-10,1.255417e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-143204,process LMZ,3.600000000000002,B1,magdzi83,-1,3,0,No Error,1310,0.9989004632157641,-6.062084674835205,-3.031965,1.212264e-10,1.348007e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-114251,process LMZ,3.600000000000002,B1,magdzi83,-3,-3,0,No Error,1310,0.9988207415619355,-6.239155292510986,-12.18733,1.176231e-10,1.280554e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-103513,process LMZ,3.600000000000002,B1,magdzi83,-3,0,0,No Error,1310,0.9993620346185106,-5.252536296844482,-8.393782,1.207655e-10,1.306949e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190531-150551,process LMZ,3.600000000000002,B1,magdzi83,-3,2,0,No Error,1310,0.9992194623761196,-6.307421684265137,-8.384517,1.206398e-10,1.288096e-10
